ID	Name	Type	SubType	Rarity	CarryLimit	Unknown	SortOrder	Unknown2	IconID	IconColourID	SellPrice	BuyPrice	Bowgun	Bow	Mushroomancer	Misc Notes	NewSortOrder	NewBuyPrice	NewSellPrice
2	Mega Potion	0	0	1	10	10	2	72	5	2	16	165				Priority - Heal	1		
3	Max Potion	0	0	2	2	2	3	8	62	4	210	2138				Priority - Heal	2		
4	Ancient Potion	0	0	4	1	1	4	72	62	4	345	3454				Priority - Heal	3		
6	Herbal Medicine	0	0	1	5	5	6	8	62	3	25	250				Priority - Poison	4		
7	Nulberry	0	0	1	10	10	7	12	21	3	120	1200				Priority - Debuff	5		
8	Energy Drink	0	0	1	10	10	8	8	5	9	6	60				Priority - Stamina	6		
9	Ration	0	0	0	10	10	9	12	7	11	3	30				Priority - Stamina	7		
18	Dash Juice	0	0	1	5	5	19	8	5	4	29	293				Priority - Stamina	8		
64	Farcaster	0	0	2	1	1	70	8	24	2	30	150				Priority - Exit	9		
15	Mega Nutrients	0	0	2	5	5	16	72	5	6	92	920				Priority - HP	10		
20	Might Seed	0	0	1	10	10	21	12	21	1	140	280				Priority - Buff ATK	11		
24	Adamant Seed	0	0	1	10	10	25	12	21	7	110	220				Priority - Buff DEF	12		
23	Might Pill	0	0	3	5	5	24	8	62	1	280	2831				Priority - Buff ATK	13		
27	Adamant Pill	0	0	3	5	5	28	8	62	7	260	2696				Priority - Buff DEF	14		
22	Mega Demondrug	0	0	4	5	5	23	72	5	1	283	2831				Priority - Buff ATK	15		
26	Mega Armorskin	0	0	4	5	5	27	72	5	7	269	2696				Priority - Buff DEF	16		
105	Whetfish Fin+	0	0	3	5	5	5068	72	43	4	45	135				Priority - Sharpen	17		
106	Sushifish Scale	0	0	1	10	10	5069	12	43	7	45	90				Priority - Heal Bleed	18		
107	Great Sushifish Scale	0	0	3	5	5	5070	76	43	7	45	90				Priority - Heal Bleed	19		
28	Lifepowder	0	0	3	3	3	29	8	13	24	190	480				Priority - Heal AoE	20		
13	Cool Drink	0	0	0	5	5	13	8	5	0	30	300					21		
1000	Hot Drink	0	0	0	5	25	14	8	5	14	25	250					22		
59	Tranq Bomb	0	0	2	8	8	64	8	24	1	35	350					23		
60	Flash Pod	0	0	1	3	3	65	8	77	4	57	572					24		
50	Flashbug	0	0	1	10	10	55	0	23	4	48	96				Flash Pods	25		
61	Screamer Pod	0	0	1	3	3	66	8	77	10	45	450					26		
57	Screamer Sac	0	0	1	10	10	62	0	13	10	15	150				Screamer Pod	27		
84	Dung Pod	0	0	1	10	10	67	8	77	11	20	120					28		
62	Smoke Bomb	0	0	1	3	3	68	8	24	0	44	100					29		
63	Poison Smoke Bomb	0	0	1	5	5	69	8	24	5	60	600					30		
74	Large Barrel	0	0	1	5	5	80	0	14	25	21	210				Barrel Bomb	31		
75	Large Barrel Bomb	0	0	2	2	2	81	8	10	25	52	518				Barrel Bomb	32		
76	Mega Barrel Bomb	0	0	3	2	2	82	72	10	25	80	800				Barrel Bomb	33		
45	Devil's Blight	0	0	1	10	5	49	0	1	14	60	600			Mushroomancer Dash Juice/Immunizer	Barrel Bomb	34		
109	Great Gunpowderfish Scale	0	0	3	5	5	5072	64	43	10	150	300				Barrel Bomb	35		
78	Net	0	0	1	10	10	84	0	20	13	54	108				Pitfall Trap	36		
79	Trap Tool	0	0	2	2	2	85	0	11	0	20	200				Traps	37		
80	Pitfall Trap	0	0	2	1	1	86	8	12	13	200	400				Traps	38		
81	Shock Trap	0	0	2	1	1	87	8	12	9	160	320				Traps	39		
90	Powercharm	0	0	4	1	1	95	0	13	1	3600	36000				Charms	40		
91	Powertalon	0	0	4	1	1	96	0	45	1	6840	68400				Charms	41		
