0001	Potion
0002	Mega Potion
0003	Max Potion
0004	Ancient Potion
0005	Antidote
0006	Herbal Medicine
0007	Nulberry
0008	Energy Drink
0009	Ration
000A	Rare Steak
000B	Well-done Steak
000C	Burnt Meat
000D	Cool Drink
000E	Nutrients
000F	Mega Nutrients
0010	Immunizer
0011	Astera Jerky
0012	Dash Juice
0013	Mega Dash Juice
0014	Might Seed
0015	Demondrug
0016	Mega Demondrug
0017	Might Pill
0018	Adamant Seed
0019	Armorskin
001A	Mega Armorskin
001B	Adamant Pill
001C	Lifepowder
001D	Herbal Powder
001E	Demon Powder
001F	Hardshell Powder
0020	Honey
0021	Herb
0022	Antidote Herb
0023	Fire Herb
0024	Flowfern
0025	Snow Herb
0026	Sleep Herb
0027	Ivy
0028	Smokenut
0029	Dragonfell Berry
002A	Blue Mushroom
002B	Mandragora
002C	Nitroshroom
002D	Devil's Blight
002E	Parashroom
002F	Toadstool
0030	Exciteshroom
0031	Bitterbug
0032	Flashbug
0033	Godbug
0034	Thunderbug
0035	Baitbug
0036	Kelbi Horn
0037	Dash Extract
0038	Nourishing Extract
0039	Screamer Sac
003A	Catalyst
003B	Tranq Bomb
003C	Flash Pod
003D	Screamer Pod
003E	Smoke Bomb
003F	Poison Smoke Bomb
0040	Farcaster
0041	Raw Meat
0042	Poisoned Meat
0043	Tinged Meat
0044	Drugged Meat
0045	Gunpowder
0046	Small Barrel
0047	Barrel Bomb
0048	Bounce Bomb
0049	Mega Bounce Bomb
004A	Large Barrel
004B	Large Barrel Bomb
004C	Mega Barrel Bomb
004D	Spider Web
004E	Net
004F	Trap Tool
0050	Pitfall Trap
0051	Shock Trap
0052	Rolled-up Dung
0053	Dung
0054	Dung Pod
0055	Arowana Bait
0056	Gunpowderfish Bait
0057	Goldenfish Bait
0058	Boomerang
0059	Binoculars
005A	Powercharm
005B	Powertalon
005C	Armorcharm
005D	Armortalon
005E	Needleberry
005F	Blastnut
0060	Dragonstrike Nut
0061	Slashberry
0062	Latchberry
0063	Bomberry
0064	Flamenut
0065	Blazenut
0066	Gunpowder Level 2
0067	Gunpowder Level 3
0068	Whetfish Fin
0069	Whetfish Fin+
006A	Sushifish Scale
006B	Great Sushifish Scale
006C	Gunpowderfish Scale
006D	Great Gunpowderfish Scale
006E	Burst Arowana Scale
006F	Great Burst Arowana Scale
0070	Bomb Arowana Scale
0071	Great Bomb Arowana Scale
0072	Whetstone
0073	Capture Net
0074	Fishing Rod
0075	BBQ Spit
0076	Ghillie Mantle
0077	Temporal Mantle
0078	Health Booster
0079	Rocksteady Mantle
007A	Challenger Mantle
007B	Vitality Mantle
007C	Fireproof Mantle
007D	Waterproof Mantle
007E	Iceproof Mantle
007F	Thunderproof Mantle
0080	Dragonproof Mantle
0081	Cleanser Booster
0082	Glider Mantle
0083	Evasion Mantle
0084	Impact Mantle
0085	Apothecary Mantle
0086	Immunity Mantle
0087	Affinity Booster
0088	Bandit Mantle
0089	Normal Ammo 1
008A	Normal Ammo 2
008B	Normal Ammo 3
008C	Pierce Ammo 1
008D	Pierce Ammo 2
008E	Pierce Ammo 3
008F	Spread Ammo 1
0090	Spread Ammo 2
0091	Spread Ammo 3
0092	Sticky Ammo 1
0093	Sticky Ammo 2
0094	Sticky Ammo 3
0095	Cluster Bomb 1
0096	Cluster Bomb 2
0097	Cluster Bomb 3
0098	Flaming Ammo
0099	Water Ammo
009A	Thunder Ammo
009B	Freeze Ammo
009C	Dragon Ammo
009D	Poison Ammo 1
009E	Poison Ammo 2
009F	Paralysis Ammo 1
00A0	Paralysis Ammo 2
00A1	Sleep Ammo 1
00A2	Sleep Ammo 2
00A3	Exhaust Ammo 1
00A4	Exhaust Ammo 2
00A5	Recover Ammo 1
00A6	Recover Ammo 2
00A7	Wyvern Ammo
00A8	Slicing Ammo
00A9	Tranq Ammo
00AA	Demon Ammo
00AB	Armor Ammo
00AC	(None)
00AD	Close-range Coating
00AE	Empty Phial
00AF	Power Coating
00B0	Poison Coating
00B1	Paralysis Coating
00B2	Sleep Coating
00B3	Exhaust Coating
00B4	Blast Coating
00B5	First-aid Med
00B6	First-aid Med+
00B7	EZ Ration
